Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
04/15/2026,04/15/2026,04/16/2026,BLBU,BLBU 4/24/2026 Call $35.00,BTO,4,$1.10,($440.00)
04/15/2026,04/15/2026,04/16/2026,BUBS,BUBS 4/24/2026 Call $60.00,BTO,1,$3.50,($350.00)
04/15/2026,04/15/2026,04/16/2026,CRYS,CRYS 4/24/2026 Call $110.00,BTO,3,$2.10,($630.00)
04/15/2026,04/15/2026,04/16/2026,DRMS,DRMS 4/24/2026 Call $80.00,BTO,6,$2.00,"($1,200.00)"
04/15/2026,04/15/2026,04/16/2026,FLZS,FLZS 4/24/2026 Call $210.00,BTO,3,$4.50,"($1,350.00)"
04/14/2026,04/14/2026,04/15/2026,BUBS,BUBS 4/17/2026 Put $45.00,STC,3,$1.90,$570.00
04/09/2026,04/09/2026,04/10/2026,BLBU,BLBU 4/10/2026 Put $20.00,STC,3,$0.80,$240.00
04/09/2026,04/09/2026,04/10/2026,BUBS,BUBS 4/10/2026 Call $50.00,STC,2,$4.50,$900.00
04/09/2026,04/09/2026,04/10/2026,CRYS,CRYS 4/10/2026 Call $100.00,STC,10,$0.90,$900.00
04/09/2026,04/09/2026,04/10/2026,DRMS,DRMS 4/10/2026 Call $75.00,STC,4,$2.40,$960.00
04/09/2026,04/09/2026,04/10/2026,FLZS,FLZS 4/10/2026 Call $200.00,STC,8,$3.20,"$2,560.00"
04/08/2026,04/08/2026,04/09/2026,BLBU,BLBU 4/17/2026 Call $30.00,BTO,2,$1.50,($300.00)
04/08/2026,04/08/2026,04/09/2026,BLBU,BLBU 4/17/2026 Put $25.00,BTO,1,$0.40,($40.00)
04/08/2026,04/08/2026,04/09/2026,BUBS,BUBS 4/17/2026 Call $55.00,BTO,5,$2.20,"($1,100.00)"
04/08/2026,04/08/2026,04/09/2026,BUBS,BUBS 4/17/2026 Put $45.00,BTO,3,$1.40,($420.00)
04/08/2026,04/08/2026,04/09/2026,CRYS,CRYS 4/17/2026 Call $105.00,BTO,5,$1.80,($900.00)
04/08/2026,04/08/2026,04/09/2026,CRYS,CRYS 4/17/2026 Put $95.00,BTO,4,$1.20,($480.00)
04/08/2026,04/08/2026,04/09/2026,DRMS,DRMS 4/17/2026 Put $70.00,BTO,3,$1.30,($390.00)
04/08/2026,04/08/2026,04/09/2026,FLZS,FLZS 4/17/2026 Put $195.00,BTO,4,$3.20,"($1,280.00)"
04/03/2026,04/03/2026,04/04/2026,BLBU,BLBU 4/3/2026 Call $25.00,STC,5,$26.00,"$13,000.00"
04/03/2026,04/03/2026,04/04/2026,BUBS,BUBS 4/10/2026 Call $50.00,BTO,2,$3.00,($600.00)
04/03/2026,04/03/2026,04/04/2026,CRYS,CRYS 4/10/2026 Call $100.00,BTO,10,$2.50,"($2,500.00)"
04/03/2026,04/03/2026,04/04/2026,DRMS,DRMS 4/10/2026 Call $75.00,BTO,4,$1.80,($720.00)
04/03/2026,04/03/2026,04/04/2026,FLZS,FLZS 4/10/2026 Call $200.00,BTO,8,$5.50,"($4,400.00)"
04/02/2026,04/02/2026,04/03/2026,BLBU,BLBU 4/10/2026 Put $20.00,BTO,3,$0.50,($150.00)
04/01/2026,04/01/2026,04/02/2026,BLBU,BLBU 4/3/2026 Call $25.00,BTO,5,$2.00,"($1,000.00)"
